"","player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","total","Winner","Top3","Top5","Top10","Top20"
"1","Lachie Neale",2,3,3,2,3,0,0,3,3,0,3,1,0,0,0,3,0,3,29,1,1,1,1,1
"2","Christian Petracca",0,3,0,0,0,3,3,1,0,1,3,1,0,3,0,0,3,3,24,0,0.92,1,1,1
"3","Travis Boak",3,2,3,0,0,0,0,0,3,0,3,0,3,0,0,3,2,0,22,0,0.83,1,1,1
"4","Jack Steele",0,1,0,1,3,0,3,0,1,2,0,0,3,1,0,2,0,3,20,0,0,0.67,1,1
"5","Taylor Adams",2,3,2,0,0,0,0,0,0,3,2,0,3,3,0,0,0,1,19,0,0.17,0.58,1,1
"6","Patrick Dangerfield",0,0,0,2,0,3,0,0,0,0,0,2,1,3,0,1,0,3,15,0,0,0.08,1,1
"7","Cameron Guthrie",0,0,0,3,0,0,1,3,0,3,0,1,3,0,0,0,0,0,14,0,0,0,0.75,1
"8","Sam Menegola",0,0,0,0,0,2,0,2,0,2,3,0,0,0,0,3,0,2,14,0,0,0,0.5,1
"9","Zach Merrett",0,3,0,0,0,0,0,2,0,2,3,0,1,2,0,0,0,1,14,0,0,0.25,0.92,0.92
"10","Marcus Bontempelli",0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,1,3,0,13,0,0,0,0.5,0.92
"11","Dustin Martin",1,0,0,0,0,0,0,1,3,1,0,0,3,0,0,0,0,3,12,0,0,0,0.17,0.83
"12","Luke Parker",2,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,3,0,12,0,0,0,0.17,1
"13","Jack Macrae",0,0,1,0,0,0,2,3,2,2,0,0,0,0,0,0,1,0,11,0,0,0.33,0.75,0.92
"14","Nic Naitanui",0,0,0,0,2,0,0,0,3,0,2,0,2,0,0,0,2,0,11,0,0,0,0,0.42
"15","Andrew McGrath",0,0,0,0,0,2,0,3,0,0,2,0,0,3,0,0,0,0,10,0,0,0,0,0.33
"16","Andrew Brayshaw",0,0,0,0,3,2,0,0,0,0,3,0,1,0,0,0,0,0,9,0,0,0,0,0.42
"17","Charlie Dixon",0,0,0,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,0,0.33
"18","David Mundy",0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,1,0,9,0,0,0,0,0.25
"19","Jarryd Lyons",0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,2,0,9,0,0,0,0,0.42
"20","Lachie Whitfield",0,0,0,1,0,1,0,0,2,1,0,0,0,3,0,0,0,1,9,0,0,0,0,0.08
"21","Liam Ryan",1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,9,0,0,0,0,0.25
"22","Matthew Rowell",0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.08
"23","Nat Fyfe",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,9,0,0.08,0.08,0.08,0.42
"24","Ollie Wines",0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,1,0,9,0,0,0,0.17,0.75
"25","Rory Laird",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,9,0,0,0,0,0.17
"26","Tim Kelly",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0.33
"27","Toby Greene",2,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0.08
"28","Tom Hawkins",0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,2,0,0,9,0,0,0,0,0.33
